加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化wide_cnn模型...
模型參數數量: 21,335,972
開始訓練 wide_cnn 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [00:39<01:20,  8.39it/s, loss=3.4675, acc=5.39%, time=0.034s]
 批次 660/990 | 損失: 3.7031 | 準確率: 0.0713 | 批次時間: 0.034秒
 批次 670/990 | 損失: 3.6988 | 準確率: 0.0718 | 批次時間: 0.034秒
 批次 680/990 | 損失: 3.6954 | 準確率: 0.0722 | 批次時間: 0.034秒
 批次 690/990 | 損失: 3.6920 | 準確率: 0.0726 | 批次時間: 0.034秒
 批次 700/990 | 損失: 3.6884 | 準確率: 0.0730 | 批次時間: 0.250秒
 批次 710/990 | 損失: 3.6855 | 準確率: 0.0733 | 批次時間: 0.034秒
 批次 720/990 | 損失: 3.6839 | 準確率: 0.0735 | 批次時間: 0.034秒
 批次 730/990 | 損失: 3.6805 | 準確率: 0.0738 | 批次時間: 0.034秒
 批次 740/990 | 損失: 3.6780 | 準確率: 0.0742 | 批次時間: 0.034秒
 批次 750/990 | 損失: 3.6746 | 準確率: 0.0751 | 批次時間: 0.034秒
 批次 760/990 | 損失: 3.6712 | 準確率: 0.0753 | 批次時間: 0.034秒
 批次 770/990 | 損失: 3.6679 | 準確率: 0.0756 | 批次時間: 0.034秒
 批次 780/990 | 損失: 3.6649 | 準確率: 0.0761 | 批次時間: 0.034秒
 批次 790/990 | 損失: 3.6614 | 準確率: 0.0765 | 批次時間: 0.034秒
 批次 800/990 | 損失: 3.6583 | 準確率: 0.0768 | 批次時間: 0.264秒
 批次 810/990 | 損失: 3.6547 | 準確率: 0.0774 | 批次時間: 0.034秒
 批次 820/990 | 損失: 3.6511 | 準確率: 0.0781 | 批次時間: 0.034秒
 批次 830/990 | 損失: 3.6486 | 準確率: 0.0784 | 批次時間: 0.034秒
 批次 840/990 | 損失: 3.6457 | 準確率: 0.0786 | 批次時間: 0.034秒
 批次 850/990 | 損失: 3.6437 | 準確率: 0.0787 | 批次時間: 0.034秒
 批次 860/990 | 損失: 3.6402 | 準確率: 0.0790 | 批次時間: 0.034秒
 批次 870/990 | 損失: 3.6379 | 準確率: 0.0792 | 批次時間: 0.034秒
 批次 880/990 | 損失: 3.6348 | 準確率: 0.0795 | 批次時間: 0.034秒
