開始訓練程序
開始訓練過程...
使用設備: cuda
配置數據轉換...
加載訓練集和驗證集...
訓練集大小: 63325個樣本
驗證集大小: 450個樣本
創建數據加載器...
訓練批次數: 990
驗證批次數: 8
初始化模型...
模型初始化完成
開始訓練循環...

==================================================
Epoch 1/20 開始
訓練階段:
  批次 700/990 | 損失: 3.0267 | 準確率: 12.55% | 處理時間: 0.26秒
  批次 710/990 | 損失: 3.1496 | 準確率: 12.62% | 處理時間: 0.22秒
  批次 720/990 | 損失: 2.7277 | 準確率: 12.71% | 處理時間: 0.23秒
  批次 730/990 | 損失: 3.0214 | 準確率: 12.85% | 處理時間: 0.22秒
  批次 740/990 | 損失: 3.0857 | 準確率: 12.92% | 處理時間: 0.22秒
  批次 750/990 | 損失: 3.2105 | 準確率: 13.01% | 處理時間: 0.23秒
  批次 760/990 | 損失: 2.9234 | 準確率: 13.06% | 處理時間: 0.22秒
  批次 770/990 | 損失: 2.9726 | 準確率: 13.10% | 處理時間: 0.22秒
  批次 780/990 | 損失: 2.9762 | 準確率: 13.19% | 處理時間: 0.22秒
  批次 790/990 | 損失: 2.8529 | 準確率: 13.25% | 處理時間: 0.26秒
  批次 800/990 | 損失: 3.1785 | 準確率: 13.28% | 處理時間: 0.22秒
  批次 810/990 | 損失: 2.9941 | 準確率: 13.32% | 處理時間: 0.22秒
  批次 820/990 | 損失: 2.9891 | 準確率: 13.40% | 處理時間: 0.22秒
  批次 830/990 | 損失: 3.1312 | 準確率: 13.47% | 處理時間: 0.22秒
  批次 840/990 | 損失: 2.8302 | 準確率: 13.54% | 處理時間: 0.26秒
  批次 850/990 | 損失: 2.8177 | 準確率: 13.66% | 處理時間: 0.22秒
  批次 860/990 | 損失: 2.6941 | 準確率: 13.74% | 處理時間: 0.21秒
  批次 870/990 | 損失: 2.9826 | 準確率: 13.81% | 處理時間: 0.22秒
  批次 880/990 | 損失: 2.6674 | 準確率: 13.87% | 處理時間: 0.22秒
  批次 890/990 | 損失: 2.6950 | 準確率: 13.91% | 處理時間: 0.26秒
  批次 900/990 | 損失: 2.7453 | 準確率: 14.01% | 處理時間: 0.22秒
  批次 910/990 | 損失: 2.7180 | 準確率: 14.09% | 處理時間: 0.22秒
  批次 920/990 | 損失: 2.9458 | 準確率: 14.14% | 處理時間: 0.22秒
  批次 930/990 | 損失: 2.7849 | 準確率: 14.21% | 處理時間: 0.22秒
  批次 940/990 | 損失: 2.8116 | 準確率: 14.29% | 處理時間: 0.22秒
  批次 950/990 | 損失: 2.9357 | 準確率: 14.38% | 處理時間: 0.22秒
  批次 960/990 | 損失: 2.7966 | 準確率: 14.46% | 處理時間: 0.23秒
  批次 970/990 | 損失: 2.6181 | 準確率: 14.52% | 處理時間: 0.21秒
  批次 980/990 | 損失: 2.6119 | 準確率: 14.60% | 處理時間: 0.26秒
  批次 990/990 | 損失: 2.3246 | 準確率: 14.67% | 處理時間: 0.11秒
訓練階段完成 | 平均損失: 3.2080 | 準確率: 14.67% | 耗時: 355.45秒

驗證階段:
  驗證批次 8/8 處理完成
驗證階段完成 | 平均損失: 2.7258 | 準確率: 24.00% | 耗時: 1.70秒
發現更好的模型! 保存檢查點...
模型保存完成
Epoch 1 完成 | 總耗時: 357.25秒
當前最佳驗證準確率: 24.00%

==================================================
Epoch 2/20 開始
訓練階段:
  批次 10/990 | 損失: 2.7050 | 準確率: 25.31% | 處理時間: 0.22秒
  批次 20/990 | 損失: 2.8302 | 準確率: 23.59% | 處理時間: 0.22秒
  批次 30/990 | 損失: 2.5890 | 準確率: 23.12% | 處理時間: 0.26秒
