加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化dynamic_conv模型...
模型參數數量: 1,536,356
開始訓練 dynamic_conv 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:05<06:30,  1.72it/s, loss=3.6956, acc=4.00%, time=0.485s]
 批次 660/990 | 損失: 3.7674 | 準確率: 0.0547 | 批次時間: 0.484秒
 批次 670/990 | 損失: 3.7647 | 準確率: 0.0554 | 批次時間: 0.487秒
 批次 680/990 | 損失: 3.7631 | 準確率: 0.0557 | 批次時間: 0.474秒
 批次 690/990 | 損失: 3.7605 | 準確率: 0.0562 | 批次時間: 0.572秒
 批次 700/990 | 損失: 3.7594 | 準確率: 0.0562 | 批次時間: 0.551秒
 批次 710/990 | 損失: 3.7577 | 準確率: 0.0564 | 批次時間: 0.476秒
 批次 720/990 | 損失: 3.7567 | 準確率: 0.0566 | 批次時間: 0.573秒
 批次 730/990 | 損失: 3.7554 | 準確率: 0.0568 | 批次時間: 0.473秒
 批次 740/990 | 損失: 3.7535 | 準確率: 0.0573 | 批次時間: 0.489秒
 批次 750/990 | 損失: 3.7518 | 準確率: 0.0575 | 批次時間: 0.572秒
 批次 760/990 | 損失: 3.7498 | 準確率: 0.0578 | 批次時間: 0.470秒
 批次 770/990 | 損失: 3.7486 | 準確率: 0.0579 | 批次時間: 0.466秒
 批次 780/990 | 損失: 3.7467 | 準確率: 0.0583 | 批次時間: 0.478秒
 批次 790/990 | 損失: 3.7447 | 準確率: 0.0586 | 批次時間: 0.520秒
 批次 800/990 | 損失: 3.7433 | 準確率: 0.0588 | 批次時間: 0.617秒
 批次 810/990 | 損失: 3.7426 | 準確率: 0.0590 | 批次時間: 0.489秒
 批次 820/990 | 損失: 3.7401 | 準確率: 0.0594 | 批次時間: 0.480秒
 批次 830/990 | 損失: 3.7385 | 準確率: 0.0596 | 批次時間: 0.476秒
 批次 840/990 | 損失: 3.7373 | 準確率: 0.0600 | 批次時間: 0.573秒
 批次 850/990 | 損失: 3.7365 | 準確率: 0.0599 | 批次時間: 0.486秒
 批次 860/990 | 損失: 3.7356 | 準確率: 0.0602 | 批次時間: 0.489秒
 批次 870/990 | 損失: 3.7341 | 準確率: 0.0606 | 批次時間: 0.498秒
 批次 880/990 | 損失: 3.7330 | 準確率: 0.0606 | 批次時間: 0.569秒
 批次 890/990 | 損失: 3.7312 | 準確率: 0.0608 | 批次時間: 0.473秒
 批次 900/990 | 損失: 3.7296 | 準確率: 0.0610 | 批次時間: 0.538秒
 批次 910/990 | 損失: 3.7284 | 準確率: 0.0612 | 批次時間: 0.573秒
 批次 920/990 | 損失: 3.7267 | 準確率: 0.0615 | 批次時間: 0.488秒
 批次 930/990 | 損失: 3.7258 | 準確率: 0.0617 | 批次時間: 0.485秒
 批次 940/990 | 損失: 3.7247 | 準確率: 0.0619 | 批次時間: 0.474秒
 批次 950/990 | 損失: 3.7230 | 準確率: 0.0620 | 批次時間: 0.573秒
 批次 960/990 | 損失: 3.7216 | 準確率: 0.0623 | 批次時間: 0.470秒
